LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
2001,"SNAPPER, VERMILION",1734474.75,3249520.72,126,FALSE
2001,"SNAPPER, YELLOWTAIL",192098.63,364335.93,64,FALSE
2001,"TRIGGERFISH, GRAY",68886.78,72615.87,42,FALSE
2002,"AMBERJACK, GREATER",701980.0700000001,710039.78,125,FALSE
2002,COBIA,104990.82,203507.294,138,FALSE
2002,"GROUPER, GAG",3140182.13,7394157.3100000005,162,FALSE
2002,"GROUPER, RED",6796154.61,12501342.632000001,177,FALSE
2002,"GROUPER, YELLOWEDGE",868690.59,2212748.5,72,FALSE
2002,HOGFISH,29238.79,59668.08,49,FALSE
2002,"MACKEREL, KING",1441969.55,1786796.23,105,FALSE
2002,"MACKEREL, SPANISH",960278.12,504892.06,98,FALSE
2002,SCAMP,353374.26,843442.408,110,FALSE
2002,"SNAPPER, GRAY",230137.28,428973.602,172,FALSE
2002,"SNAPPER, MUTTON",86224.74,147746.51,67,FALSE
2002,"SNAPPER, RED",4814418.5200000005,10685875.37,147,FALSE
2002,"SNAPPER, VERMILION",2016943.3800000001,3597377.962,107,FALSE
2002,"SNAPPER, YELLOWTAIL",318904.24,583110.54,62,FALSE
2002,"TRIGGERFISH, GRAY",92999.52,98576.87,43,FALSE
2003,"AMBERJACK, GREATER",854487.09,781864,126,FALSE
2003,COBIA,110858.22,231791.175,138,FALSE
2003,"GROUPER, GAG",2698150.7600000002,6872199.01,158,FALSE
2003,"GROUPER, RED",5683242.63,11380291.5796,181,FALSE
2003,"GROUPER, YELLOWEDGE",1263370.02,3160456.09,74,FALSE
2003,HOGFISH,27955.8,60034.92,50,FALSE
2003,"MACKEREL, KING",1660387.42,1966056.11,90,FALSE
2003,"MACKEREL, SPANISH",1473301.81,733105.83,105,FALSE
2003,SCAMP,363697.4,916707.09,124,FALSE
2003,"SNAPPER, GRAY",200455.58,379530.38,165,FALSE
2003,"SNAPPER, MUTTON",113035.13,194920.57,66,FALSE
2003,"SNAPPER, RED",4445864.47,10477114.2999,141,FALSE
2003,"SNAPPER, VERMILION",2433801.7,4533740.8,117,FALSE
2003,"SNAPPER, YELLOWTAIL",463155.94,831080.33,62,FALSE
2003,"TRIGGERFISH, GRAY",93960.19,102338.53,41,FALSE
2004,"AMBERJACK, GREATER",861332.53,773031.8,119,FALSE
2004,COBIA,99860.9,209647.28,122,FALSE
2004,"GROUPER, GAG",3069897.41,7650603.55,163,FALSE
2004,"GROUPER, RED",6649701.23,12998137.958,165,FALSE
2004,"GROUPER, YELLOWEDGE",1028263.29,2542222.44,55,FALSE
2004,HOGFISH,25286.99,58327.5,48,FALSE
2004,"MACKEREL, KING",2101169,2339682.86,98,FALSE
2004,"MACKEREL, SPANISH",1137001.84,687397.085,93,FALSE
2004,SCAMP,371049.5,925299.625,123,FALSE
2004,"SNAPPER, GRAY",229468.06,441168.918,159,FALSE
2004,"SNAPPER, MUTTON",202278.38,346404.4,60,FALSE
2004,"SNAPPER, RED",4441371.82,11107745.102,145,FALSE
2004,"SNAPPER, VERMILION",2137053.42,4050602.32,117,FALSE
2004,"SNAPPER, YELLOWTAIL",476111.53,989513.48,64,FALSE
2004,"TRIGGERFISH, GRAY",86559.12,87170.89,51,FALSE
2005,"AMBERJACK, GREATER",662920.65,638888.5,117,FALSE
2005,COBIA,87476.28,191872.8,125,FALSE
2005,"GROUPER, GAG",2718264.92,7156541.105,145,FALSE
2005,"GROUPER, RED",6345038.25,13288115.41,161,FALSE
2005,"GROUPER, YELLOWEDGE",911155.15,2354025.07,57,FALSE
2005,HOGFISH,20194.100000000002,48361.86,43,FALSE
2005,"MACKEREL, KING",1958249.7,2391995.28,89,FALSE
2005,"MACKEREL, SPANISH",1668552.07,960095.06,82,FALSE
2005,SCAMP,357873.08,933025.84,102,FALSE
2005,"SNAPPER, GRAY",238840.39,466979.79,152,FALSE
2005,"SNAPPER, MUTTON",144310.81,265599.6,62,FALSE
2005,"SNAPPER, RED",4188255.38,11557416.9,146,FALSE
2005,"SNAPPER, VERMILION",1870131.77,3765889.9590000003,120,FALSE
2005,"SNAPPER, YELLOWTAIL",540762.23,1205085.46,69,FALSE
2005,"TRIGGERFISH, GRAY",45485.96,46609.31,40,FALSE
2006,"AMBERJACK, GREATER",557629.61,614996.482,103,FALSE
2006,COBIA,80975.83,164235.64,120,FALSE
2006,"GROUPER, GAG",1438931.66,4149754.8200000003,139,FALSE
2006,"GROUPER, RED",5879407.33,13927843.47,141,FALSE
2006,"GROUPER, YELLOWEDGE",815264.95,2244462.2600000002,52,FALSE
2006,HOGFISH,15747.87,41205.93,37,FALSE
2006,"MACKEREL, KING",2123523.46,2523060.872,102,FALSE
2006,"MACKEREL, SPANISH",1460718.73,819446.371,91,FALSE
2006,SCAMP,249612.59,709815.91,109,FALSE
2006,"SNAPPER, GRAY",203073.99,431460.54600000003,148,FALSE
2006,"SNAPPER, MUTTON",141137.36000000002,285098.01,68,FALSE
2006,"SNAPPER, RED",4681519.0200000005,13259203.26,135,FALSE
2006,"SNAPPER, VERMILION",1765062.7,4087165.7,103,FALSE
2006,"SNAPPER, YELLOWTAIL",543067.93,1324837.3900000001,73,FALSE
2006,"TRIGGERFISH, GRAY",32749.5,30109.03,30,FALSE
2007,"AMBERJACK, GREATER",587401.59,642261.02,98,FALSE
2007,COBIA,72814.59,184197.42,101,FALSE
2007,"GROUPER, GAG",1365281.3800000001,4410788.67,131,FALSE
2007,"GROUPER, RED",4227355.39,10704067.96,133,FALSE
2007,"GROUPER, YELLOWEDGE",1002053.91,3119641.02,55,FALSE
2007,HOGFISH,17951.29,50841.65,42,FALSE
2007,"MACKEREL, KING",1953107.58,2862312.38,84,FALSE
2007,"MACKEREL, SPANISH",979709.02,696606.74,77,FALSE
2007,SCAMP,320802.96,986445.03,94,FALSE
2007,"SNAPPER, GRAY",149553.52,323747.27,123,FALSE
