"indicator","Sea Level Rise"
"unit","Change in mean sea level (mm)"
"extent","Gulf of America"
"2015.1393","81.32"
"2015.1662","62.75"
"2015.1934","46.94"
"2015.2207","69.57"
"2015.2479","33.98"
"2015.275","40.87"
"2015.3022","55.25"
"2015.3299","86.44"
"2015.3566","79.58"
"2015.3834","69.36"
"2015.4106","49.14"
"2015.4375","57.39"
"2015.4651","71.48"
"2015.4922","83.68"
"2015.5192","62.39"
"2015.5462","75.21"
"2015.5732","90.35"
"2015.6003","78.26"
"2015.6287","63.73"
"2015.6551","81.11"
"2015.6825","73.6"
"2015.7092","58.19"
"2015.7366","72.28"
"2015.7632","95.77"
"2015.791","106.5"
"2015.8178","86.99"
"2015.8445","64.16"
"2015.8722","83.26"
"2015.8995","104.11"
"2015.9265","108.35"
"2015.9533","106.58"
"2015.9809","121.93"
"2016.0081","127.37"
"2016.0355","111.59"
"2016.0628","93.59"
"2016.0894","109.4"
"2016.1166","108.05"
"2016.1221","107.21"
